       t      x      y     vx  vy
0    0.0    0.0    0.0  100.0  15
1    1.0   95.1   15.0   90.2  15
2    2.0  180.4   30.0   80.4  15
3    3.0  255.9   45.0   70.6  15
4    4.0  321.6   60.0   60.8  15
5    5.0  377.5   75.0   51.0  15
6    6.0  423.6   90.0   41.2  15
7    7.0  459.9  105.0   31.4  15
8    8.0  486.4  120.0   21.6  15
9    9.0  503.1  135.0   11.8  15
10  10.0  510.0  150.0    2.0  15
11  11.0  507.1  165.0   -7.8  15
12  12.0  494.4  180.0  -17.6  15
13  13.0  471.9  195.0  -27.4  15
14  14.0  439.6  210.0  -37.2  15
15  15.0  397.5  225.0  -47.0  15


